time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-23T19:00:52.930Z,32.7661667,-116.8983333,2.922,1.55,ml,20,76,0.04804,0.25,ci,ci37406664,2015-06-23T19:05:06.256Z,"4km ENE of Rancho San Diego, California",quarry blast
2015-06-23T18:47:15.723Z,36.5183,-116.2352,3,1.22,ml,23,153.02,0.076,,nn,nn00499656,2015-06-23T18:48:35.379Z,"41km NNW of Pahrump, Nevada",earthquake
2015-06-23T18:11:04.700Z,33.835,-117.7518333,3.208,1.69,ml,10,125,0.08984,0.21,ci,ci37406632,2015-06-23T18:15:41.819Z,"6km ENE of Villa Park, California",earthquake
2015-06-23T17:52:10.880Z,40.465,-121.5495,6.04,1.33,md,10,104,0.02401,0.05,nc,nc72471136,2015-06-23T18:19:05.900Z,"28km E of Shingletown, California",earthquake
2015-06-23T17:46:24.240Z,34.7128333,-116.0518333,0.774,1.83,ml,14,79,0.0873,0.15,ci,ci37406624,2015-06-23T17:50:36.417Z,"10km E of Ludlow, California",earthquake
2015-06-23T17:38:56.830Z,36.7462,-98.0068,5,2.9,ml,,92,0.173,0.13,us,us10002l7l,2015-06-23T18:41:05.361Z,"25km WSW of Medford, Oklahoma",earthquake
2015-06-23T17:37:56.130Z,36.6569,-98.5693,6.61,3.1,mb_lg,,101,0.323,0.59,us,us10002l7e,2015-06-23T18:12:19.187Z,"18km SSE of Alva, Oklahoma",earthquake
2015-06-23T17:32:46.000Z,51.6355,-174.8336,39.3,1.6,ml,,,,0.46,ak,ak11632560,2015-06-23T17:55:24.437Z,"76km SW of Atka, Alaska",earthquake
2015-06-23T17:10:52.000Z,63.0375,-150.4422,14,1.4,ml,,,,0.59,ak,ak11632559,2015-06-23T17:18:03.849Z,"81km NNW of Talkeetna, Alaska",earthquake
2015-06-23T16:50:19.000Z,63.0193,-151.0374,131.5,1.1,ml,,,,0.59,ak,ak11632555,2015-06-23T16:59:42.241Z,"90km NNW of Talkeetna, Alaska",earthquake
2015-06-23T16:39:46.260Z,-10.8799,163.7166,26.59,4.7,mb,,108,3.977,0.79,us,us10002l6x,2015-06-23T19:01:47.384Z,"202km ESE of Kirakira, Solomon Islands",earthquake
2015-06-23T16:32:16.150Z,35.5949,141.931,30.8,4.3,mb,,180,1.548,0.73,us,us10002l5u,2015-06-23T18:32:13.549Z,"100km E of Hasaki, Japan",earthquake
2015-06-23T16:24:14.000Z,62.2879,-150.5314,40.1,1.2,ml,,,,0.18,ak,ak11632553,2015-06-23T16:30:14.035Z,"22km W of Talkeetna, Alaska",earthquake
2015-06-23T16:23:58.180Z,38.7896652,-122.7256699,3.06,1.31,md,9,87,0.007632,0.03,nc,nc72471096,2015-06-23T16:25:31.800Z,"3km S of Cobb, California",earthquake
2015-06-23T16:15:01.230Z,33.7061667,-116.759,17.13,1.44,ml,56,37,0.0377,0.12,ci,ci37406528,2015-06-23T17:33:56.830Z,"5km SW of Idyllwild, California",earthquake
2015-06-23T15:57:03.000Z,61.36,-149.8577,36.8,1.5,ml,,,,0.59,ak,ak11632526,2015-06-23T16:12:47.440Z,"15km N of Anchorage, Alaska",earthquake
2015-06-23T15:45:19.000Z,60.3211,-152.4255,100.2,2.9,ml,,,,0.64,ak,ak11632519,2015-06-23T16:01:08.528Z,"25km SE of Redoubt Volcano, Alaska",earthquake
2015-06-23T15:42:39.000Z,62.7915,-150.5771,90.2,2.4,ml,,,,0.46,ak,ak11632514,2015-06-23T15:54:44.367Z,"57km NNW of Talkeetna, Alaska",earthquake
2015-06-23T15:41:46.200Z,39.6343346,-123.0236664,0.02,1.57,md,10,90,0.1561,0.26,nc,nc72471081,2015-06-23T15:43:21.510Z,"26km SE of Covelo, California",earthquake
2015-06-23T15:32:47.920Z,32.9958333,-117.7706667,26.6,2.21,ml,19,159,0.4811,0.28,ci,ci37406496,2015-06-23T17:03:19.769Z,"43km WSW of Carlsbad, California",earthquake
2015-06-23T15:06:05.800Z,36.7408,-98.3538,7.543,2.5,ml,,153,,0.22,us,us10002l7q,2015-06-23T19:11:22.425Z,"1km S of Cherokee, Oklahoma",earthquake
2015-06-23T14:48:59.000Z,59.6183,-152.9513,95.4,2.7,ml,,,,0.72,ak,ak11632476,2015-06-23T15:04:39.263Z,"65km WSW of Anchor Point, Alaska",earthquake
2015-06-23T14:39:55.250Z,36.176,-117.8853333,3.59,1.17,ml,13,101,0.06316,0.11,ci,ci37406424,2015-06-23T16:48:04.425Z,"16km NNE of Coso Junction, California",earthquake
2015-06-23T14:37:34.000Z,51.832,178.5684,110.8,2.2,ml,,,,0.54,ak,ak11632474,2015-06-23T17:49:19.576Z,"13km SSE of Little Sitkin Island, Alaska",earthquake
2015-06-23T14:37:16.880Z,38.7903328,-122.7714996,3.79,1.57,md,30,74,0.01314,0.03,nc,nc72471056,2015-06-23T14:38:51.030Z,"1km NW of The Geysers, California",earthquake
2015-06-23T14:06:56.000Z,63.1962,-149.4752,97.3,2.6,ml,,,,0.41,ak,ak11632462,2015-06-23T14:31:32.668Z,"34km SW of Cantwell, Alaska",earthquake
2015-06-23T13:56:13.000Z,63.1047,-150.5117,50.5,1.3,ml,,,,3.05,ak,ak11632456,2015-06-23T14:07:17.247Z,"84km WSW of Cantwell, Alaska",earthquake
2015-06-23T13:56:10.930Z,34.6131667,-118.6458333,10.03,1.27,ml,26,56,0.06407,0.16,ci,ci37406400,2015-06-23T16:44:59.980Z,"14km N of Castaic, California",earthquake
2015-06-23T13:54:04.670Z,27.6288,139.8741,472.47,4.4,mb,,46,2.122,0.67,us,us10002l59,2015-06-23T16:00:32.298Z,"239km WNW of Chichi-shima, Japan",earthquake
2015-06-23T13:48:22.020Z,27.5638,66.2128,10,4.5,mb,,213,7.366,0.98,us,us10002l57,2015-06-23T15:30:06.397Z,"46km WSW of Khuzdar, Pakistan",earthquake
2015-06-23T13:42:09.000Z,63.0067,-150.8387,99.9,1.3,ml,,,,0.67,ak,ak11632453,2015-06-23T13:55:27.706Z,"84km NNW of Talkeetna, Alaska",earthquake
2015-06-23T13:40:46.000Z,61.4961,-146.554,27.9,1.3,ml,,,,0.88,ak,ak11632451,2015-06-23T13:49:37.138Z,"42km NNW of Valdez, Alaska",earthquake
2015-06-23T13:14:46.390Z,36.5886667,-121.1898333,5.45,1.11,md,21,85,0.01375,0.06,nc,nc72471031,2015-06-23T17:05:51.540Z,"21km NNE of Soledad, California",earthquake
2015-06-23T12:59:08.120Z,38.8191667,-122.779,2.27,1.54,md,48,28,0.006044,0.04,nc,nc72471021,2015-06-23T17:46:02.850Z,"4km W of Cobb, California",earthquake
2015-06-23T12:46:29.260Z,33.8741667,-118.3731667,12.82,1.34,ml,20,138,0.03512,0.21,ci,ci37406384,2015-06-23T16:39:08.046Z,"2km SW of Lawndale, California",earthquake
2015-06-23T12:18:29.940Z,27.6685,139.7931,455.88,6.3,mwp,,19,2.201,0.91,us,us10002l37,2015-06-23T16:11:39.000Z,"248km WNW of Chichi-shima, Japan",earthquake
